text,actual,predicted
i really want sharks to win,1,0
just wait you think it s fast now mine just graduated college she was just born yesterday wasn t she,0,1
lolll i think 2 of my no good followers left me yest oh well lol they should kon what theyr gettin in2 when they follow me,0,1
we only answering special tweete tonight,0,1
me too i like listening to rain when i don t have to go out in it,1,0
probably a long island or stoli vanilla amp coke though an apple martini has been known to chase away bad attitudes too,1,0
waiting to see next weeks tweets,1,0
wahms worth it to reactivate my dell laptop s service plan i was busy having a baby let it lapse amp now i have to pay an extra 100,0,1
im sitting on the floor filled with enthusiasm i was being sarcastic uh oh i ve got the sat s on 11th 16th may,0,1
sooo i found a house but i got heat stroke from being outside all day new atl cringed but i hated weightless at first so we re good,1,0
lol yes took me awhile to get accustomed to it now back apple v a x c btw apple up amp down still is home and end,0,1
trying to detox 2day no more tea or coffee for the day not feeling great about no tea amp cake i love cake ahhh cake water,0,1
emember 2follow me plz shanda,1,0
sunday is over with,0,1
hard to go walkies with no paws,1,0
missing the twitter banter and all my tweeting friends,1,0
i have a picture though so don t worry that you missed out,1,0
moshing to fall out boy and confetti bears are falling from the sky,1,0
quot solo que me falta quot always makes me feel hot and bothered for some reason it sounds so sexy just me i m sure blush blush,0,1
had a awesome time yesterday feeling a bit sore today though my little boys birthday tomorrow,1,0
shelby and her quot wobble quot but its cute,0,1
jabber ssl certificates are valid to 2014 so i did something right,1,0
thanks hon just seems to be an ongoing saga with breakins and theft right now,0,1
yw jk i love you,0,1
3turnoffwords oops wrong hole sorry,1,0
hi all i am just chilling out at home job serching boring or what,0,1
me too sis me too,0,1
you had french toast without me while i had a mear bacon sammich,0,1
yeah he should have btw can you put those pictures on can t check my myspace atm,0,1
alright chick when you re ready drop me a mail,0,1
omg i m headed to a strip club pull out the dolla bills,1,0
i gave my little gold rejected star and went right to sleep whew that was hard work lol,1,0
iiiim tired tiink i wanna sleep but my mom doesnt lemme wbuuuu ilu lt 3,1,0
just came back from the beach and i have major hayfever i think im burnt oh well i just hope i dont tan o,1,0
is sunburnt and it hurts but had so much fun these last few days this year has really been pretty good i am so happy rite now,1,0
